thread_id,slug,title,author,reasons,similarity_score,word_count,photo_count,created_at
cmu59qcv3000204l5fhygcfbp,"how-to-fix-blurry-sunset-photos-taken-on-a-lightweight-tripod-a3nw78","How to fix blurry sunset photos taken on a lightweight tripod","Alex","DUPLICATE_CONTENT (100.0% match) | BOT_SIMULATED_USER | THIN_TEXT_NO_IMAGE (40 words, 0 photos)",100,40,0,2026-09-15T18:29:17.341Z
cmu32kgc10028cj0okdh1ntg8,"why-are-my-indoor-photos-always-blurry-beginner-help-1x6sw5","Why are my indoor photos always blurry? (beginner help)","Olivia","DUPLICATE_CONTENT (100.0% match) | BOT_SIMULATED_USER | THIN_TEXT_NO_IMAGE (36 words, 0 photos)",100,36,0,2026-09-14T03:33:12.241Z
cmu32jovx0002cj0ogmaep7pe,"sony-a7cr-vs-nikon-z6-iii-for-landscape-photography-ekiylm","Sony a7CR vs Nikon Z6 III for landscape photography","Mason","DUPLICATE_CONTENT (100.0% match) | BOT_SIMULATED_USER | THIN_TEXT_NO_IMAGE (36 words, 0 photos)",100,36,0,2026-09-14T03:32:36.664Z
cmu4sgcp5000204jp75tbzr5f,"how-to-fix-blurry-sunset-photos-taken-on-a-lightweight-tripod-iw1dik","How to fix blurry sunset photos taken on a lightweight tripod","Liam","DUPLICATE_CONTENT (100.0% match) | BOT_SIMULATED_USER | THIN_TEXT_NO_IMAGE (40 words, 0 photos)",100,40,0,2026-09-14T01:25:37.093Z
cmu343hj900027n0oakvlkng8,"how-to-clean-a-camera-sensor-safely-at-home-without-scratching-glass-5yr9n4","How to clean a camera sensor safely at home without scratching glass","Mia","DUPLICATE_CONTENT (100.0% match) | BOT_SIMULATED_USER | THIN_TEXT_NO_IMAGE (36 words, 0 photos)",100,36,0,2026-09-13T16:15:59.874Z
cmu34ejzx0002ju0opntz0ngg,"peak-design-everyday-backpack-20l-vs-30l-for-camera-gear-1fv71c","Peak Design Everyday Backpack 20L vs 30L for camera gear","Alex","DUPLICATE_CONTENT (100.0% match) | BOT_SIMULATED_USER | THIN_TEXT_NO_IMAGE (36 words, 0 photos)",100,36,0,2026-09-13T11:24:36.283Z
cmu2qhie1000204l17jb88je5,"best-camera-bag-for-international-travel-with-2-bodies-1max64","Best camera bag for international travel with 2 bodies","Liam","DUPLICATE_CONTENT (100.0% match) | BOT_SIMULATED_USER | THIN_TEXT_NO_IMAGE (36 words, 0 photos)",100,36,0,2026-09-13T05:54:59.542Z
cmtty57cl000004jop8h91n1f,"what-is-the-best-budget-mirrorless-camera-under-500-today-ztl28p","What is the best budget mirrorless camera under $500 today?","Hira Qureshi","THIN_TEXT_NO_IMAGE (37 words, 0 photos)",2,37,0,2026-09-09T10:19:26.710Z
cmtx2xc8j0002my0ogykit8l5,"how-to-photograph-the-milky-way-for-beginners-rrffsg","How to photograph the Milky Way for beginners","Chloe","DUPLICATE_CONTENT (100.0% match) | BOT_SIMULATED_USER | THIN_TEXT_NO_IMAGE (36 words, 0 photos)",100,36,0,2026-09-08T23:56:36.396Z
cmtt5winp002z5hi0cqeplt65,"back-button-focus-worth-relearning-after-ten-years-of-half-press","Back-button focus: worth relearning after ten years of half-press?","Rosa Iversen","THIN_TEXT_NO_IMAGE (31 words, 0 photos)",0,31,0,2026-09-06T21:08:52.142Z
